gender,birthdate,country_of_birth,current_country,postcode,national_insurance_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,birthmonth_imp,birthyear_gov,birth_group_op,Continent_gov_op,postcode_imp,postcode_gov,hash
F,1958-09-18,Russian Federation,United Kingdom,HP4 6AN,ZZ331923T,0,100.0,1.52,O+,2.9,152.1,bachelor,46,1958-09,1958,1955-1980,Europe,HP4 ,HP,16264049
F,1964-05-09,Russian Federation,United Kingdom,M17 3LN,ZZ527067T,0,71.3,1.95,B+,8.7,417.0,secondary,39,1964-05,1964,1955-1980,Europe,M17 ,M,8852062
M,1969-02-19,Central African Republic,United Kingdom,EN3R 4WR,ZZ974203T,0,49.9,1.7,O+,1.0,257.5,other,13,1969-02,1969,1955-1980,Africa,EN3R ,EN,23359696
F,1968-12-28,Greenland,United Kingdom,TA7 2QS,ZZ659118T,0,35.7,1.69,O+,0.4,439.8,secondary,3,1968-12,1968,1955-1980,America,TA7 ,TA,10209387
M,1962-06-19,Italy,United Kingdom,FY8 8PA,ZZ015573T,1,72.9,1.46,A+,4.6,10.5,secondary,25,1962-06,1962,1955-1980,Europe,FY8 ,FY,20020727
M,1962-01-12,Albania,United Kingdom,E8U 1EX,ZZ403127T,0,84.0,1.54,O+,6.4,474.3,masters,43,1962-01,1962,1955-1980,Europe,E8U ,E,19395791
M,1956-12-31,British Virgin Islands,United Kingdom,M63 9WX,ZZ260969T,0,99.7,1.48,B+,0.7,471.9,other,37,1956-12,1956,1955-1980,America,M63 ,M,11557034
M,1967-01-14,Colombia,United Kingdom,LN9 3AE,ZZ823695T,0,52.2,1.48,O+,1.4,158.4,bachelor,37,1967-01,1967,1955-1980,America,LN9 ,LN,6671178
M,1994-06-25,Costa Rica,United Kingdom,NE8P 3DS,ZZ875039T,0,77.4,1.91,B+,9.7,132.8,primary,25,1994-06,1994,Over 1980,America,NE8P ,NE,6922066
M,1999-02-09,Isle of Man,United Kingdom,NR06 7FR,ZZ669947T,0,50.1,1.59,O+,7.2,279.0,bachelor,22,1999-02,1999,Over 1980,Europe,NR06 ,NR,24516995
M,1985-11-21,Georgia,United Kingdom,BB95 2UD,ZZ290320T,0,68.2,1.45,A+,9.7,429.5,secondary,2,1985-11,1985,Over 1980,Asia,BB95 ,BB,21049785
F,1992-01-18,Argentina,United Kingdom,CH7Y 4NR,ZZ945710T,0,47.1,1.81,A+,2.6,487.5,bachelor,27,1992-01,1992,Over 1980,America,CH7Y ,CH,20030360
M,1984-09-27,Armenia,United Kingdom,HA0 0ZB,ZZ927192T,0,44.2,1.98,O+,6.2,21.5,bachelor,46,1984-09,1984,Over 1980,Asia,HA0 ,HA,11844716
F,1962-09-14,Vietnam,United Kingdom,SP78 8EF,ZZ682180T,0,42.8,1.85,O+,1.0,379.5,primary,48,1962-09,1962,1955-1980,Asia,SP78 ,SP,4983167
F,1994-10-21,Mauritius,United Kingdom,CA2W 5NQ,ZZ500024T,0,54.2,1.96,A+,8.3,492.6,masters,27,1994-10,1994,Over 1980,Africa,CA2W ,CA,9001451
M,1973-08-19,Svalbard & Jan Mayen Islands,United Kingdom,HG3X 8UF,ZZ453193T,0,63.5,1.52,B+,3.6,81.8,secondary,15,1973-08,1973,1955-1980,Europe,HG3X ,HG,13934070
F,1971-08-25,India,United Kingdom,M04 5SA,ZZ432458T,0,93.9,1.89,O+,8.5,481.2,secondary,32,1971-08,1971,1955-1980,Asia,M04 ,M,19943640
F,1975-04-18,Suriname,United Kingdom,G5 6JY,ZZ308378T,1,74.2,1.48,O+,0.0,99.5,other,18,1975-04,1975,1955-1980,America,G5 ,G,2510086
F,1957-10-01,Italy,United Kingdom,SL6W 3ZU,ZZ622667T,0,96.6,1.84,A+,7.9,54.1,secondary,13,1957-10,1957,1955-1980,Europe,SL6W ,SL,11552128
F,1968-06-13,Bolivia,United Kingdom,NE6 8SU,ZZ149544T,0,60.8,1.57,B-,3.5,353.2,primary,32,1968-06,1968,1955-1980,America,NE6 ,NE,14817230
M,1990-01-22,Cook Islands,United Kingdom,S8 4AA,ZZ685878T,0,87.0,1.97,A+,8.3,52.0,bachelor,38,1990-01,1990,Over 1980,other,S8 ,S,6262906
M,1976-02-11,Jersey,United Kingdom,W2H 7FU,ZZ758305T,0,93.0,1.46,A+,5.9,217.8,masters,46,1976-02,1976,1955-1980,Europe,W2H ,W,21527765
M,1965-10-13,Bahrain,United Kingdom,LN19 2TY,ZZ941452T,0,66.6,1.75,AB+,7.0,194.8,secondary,47,1965-10,1965,1955-1980,Asia,LN19 ,LN,18789840
M,2000-08-15,Gambia,United Kingdom,SY7P 3DS,ZZ767626T,0,95.2,1.8,B+,2.0,183.7,bachelor,33,2000-08,2000,Over 1980,Africa,SY7P ,SY,20346472
F,1986-03-07,Guam,United Kingdom,HR3R 1XY,ZZ752152T,0,88.0,1.95,A+,3.7,189.9,bachelor,34,1986-03,1986,Over 1980,other,HR3R ,HR,22260616
M,1955-12-29,Comoros,United Kingdom,G7D 8LE,ZZ616772T,0,60.9,1.59,O-,8.9,430.2,bachelor,19,1955-12,1955,1955-1980,Africa,G7D ,G,24304151
F,1975-01-13,Belgium,United Kingdom,ZE4P 8TL,ZZ264221T,0,41.4,1.88,A+,8.2,403.8,secondary,32,1975-01,1975,1955-1980,Europe,ZE4P ,ZE,21778307
F,1976-06-17,Kuwait,United Kingdom,DT31 7SE,ZZ315233T,0,44.6,1.86,O+,9.8,491.1,other,8,1976-06,1976,1955-1980,Asia,DT31 ,DT,22724302
F,1974-05-04,Singapore,United Kingdom,M38 4TG,ZZ078889T,0,64.8,1.85,A+,5.7,92.9,secondary,8,1974-05,1974,1955-1980,Asia,M38 ,M,16783359
M,1989-07-13,Cameroon,United Kingdom,E8 2EB,ZZ431032T,0,62.6,1.8,A-,0.9,31.3,secondary,10,1989-07,1989,Over 1980,Africa,E8 ,E,21425950
F,1996-06-21,Saint Pierre and Miquelon,United Kingdom,AL6E 1YF,ZZ447586T,0,87.4,1.75,O+,5.1,485.9,secondary,40,1996-06,1996,Over 1980,America,AL6E ,AL,1397460
F,1978-09-16,Venezuela,United Kingdom,LL4P 2GU,ZZ293148T,0,97.1,1.76,A+,4.2,390.8,bachelor,46,1978-09,1978,1955-1980,America,LL4P ,LL,12455356
M,1968-05-22,Brazil,United Kingdom,SR1W 2YH,ZZ551167T,0,64.9,1.74,O-,9.8,430.8,secondary,45,1968-05,1968,1955-1980,America,SR1W ,SR,22138271
F,1996-04-12,France,United Kingdom,ZE3Y 2LL,ZZ527581T,0,37.3,1.86,B+,7.9,374.0,masters,16,1996-04,1996,Over 1980,Europe,ZE3Y ,ZE,12772033
F,1984-12-24,Myanmar,United Kingdom,W4D 0QP,ZZ184709T,0,65.8,1.81,A+,1.0,146.1,other,9,1984-12,1984,Over 1980,Asia,W4D ,W,3025936
M,1982-05-26,Svalbard & Jan Mayen Islands,United Kingdom,WF07 2NP,ZZ927709T,0,56.5,1.59,O-,8.5,191.4,primary,42,1982-05,1982,Over 1980,Europe,WF07 ,WF,14277217
